DNMT3B,ZBTB46,NYNRIN,ARHGAP22,LAPTM4B,MMRN1,DPYSL3,KIAA0125,CDK6,CPXM1,SOCS2,C19orf77,EMP1,NGFRAP1,CD34,AKR1C3,GPR56,riskScore
17-00478,3.83145065,2.70848068,2.03820187,3.89727207,2.8527542,-0.26798427,5.56453483,3.56713454,9.50891784,7.40247862,1.14102907,5.89186779,5.57843881,3.9301746,0.64502008,-0.466064965,2.66222688,-0.0821624458205001
17-00482,2.10985945,4.27466227,3.13807769,0.33274607,4.7348871,1.55378994,1.05171116,3.63261406,7.97750273,5.92830404,5.46940168,4.09276228,9.07489489,3.99130209,6.21018882,-0.294325755,6.3631964,0.4271154185695
17-00485,6.59236852,4.36468286,5.65138047,6.09807778,6.16624786,5.54372861,6.35144192,6.54656897,10.36680278,8.08879229,2.90143307,7.22735257,4.51662574,5.40134938,6.29912005,0.528600455,6.82157754,0.7043628915787
17-00491,5.323184269,4.817726842,2.709363913,4.326750302,5.375524167,-0.736806291,5.975838198,4.815283983,10.28367323,8.285837976,5.794255966,6.275485308,5.487927191,5.048436966,1.543073037,0.0303929919999999,4.116641059,0.18767434348789
17-00499,3.47619041,2.4366435,5.57907404,2.64959912,1.35414098,7.60687807,1.86885335,-0.48039917,9.47581956,3.63915678,6.6765214,0.693358,2.912165,2.27103079,6.54965053,-3.274406445,-0.33085878,0.3675899411436
17-00514,1.926992488,-1.046314627,2.204947642,0.810531288,3.232758251,8.81405655,-0.371905531,-2.155202428,9.972084191,1.373327719,8.555856633,0.924583389,5.94352298,2.001660656,-1.825143019,-2.060382703,2.022303356,0.18183610641092
17-00551,6.895292107,5.607748605,5.598660794,6.209967769,6.744148256,7.190689973,6.75202528,7.542100336,9.612308985,8.004114669,5.789118819,5.914038576,6.088635866,5.576459312,8.509740449,0.297276727,6.633556807,1.03137842051132
17-00556,2.65780508,2.295669772,1.096139492,2.980110145,3.40231899,3.469854004,3.489130146,2.872659649,7.479801267,5.935794634,3.515691246,2.724385403,6.728101542,1.628365411,2.047835342,-0.8024553925,4.850219359,0.2581110818537
17-00613,5.96530752,3.82531193,5.16283644,6.28664249,5.77815813,5.82857467,4.33700708,6.44002117,9.68369771,7.66952805,6.47625899,5.69692653,2.16800013,3.00680687,3.66223139,-0.31774483,7.30971097,0.6213264856026
17-00634,2.076987437,2.264644946,0.631524205,0.956012126,2.539722428,1.39162138,4.791614594,3.512905388,6.806911817,4.944367603,2.920883583,2.35004906,9.287125425,2.763755609,4.727451685,-1.1854908705,2.09908501,0.34682404185211
17-00641,6.761922122,5.846260971,6.092318218,3.259106263,5.200250686,7.524166544,2.258202192,7.768429101,8.725983342,7.914845724,6.664938538,7.432042773,6.630688152,-3.201156402,9.471900445,0.733287104,6.721321435,0.60614072481942
17-00676,6.71130306,4.3763395,3.11681267,2.43764995,5.58497039,6.17848697,4.51081796,7.65986975,9.01654306,4.21148796,5.64161798,4.43449682,7.27317909,5.06278534,8.62283806,0.84626451,6.91365954,1.1528415031773
17-00678,5.61007809,4.067839804,7.506586301,5.202123544,4.421768695,9.220562094,5.558962609,5.829859946,9.595792245,7.386896079,8.064385472,5.986950942,4.256603085,5.021685092,6.343846124,-0.8125363435,4.330507032,0.85488762556885
17-00685,2.481466156,2.254503602,5.264664623,3.796772128,1.700752368,7.572582715,-0.863481893,0.994180489,8.242136166,4.445668897,6.725016432,0.652934744,7.282787169,0.936045354,-0.125381581,-1.163463666,3.168927155,0.15572519581261
17-00687,4.48870862,6.06488927,-1.61364164,0.54497494,2.83808614,3.44413464,-3.6088024,-1.25644436,10.59845381,6.47634827,4.40574652,4.84419167,6.82444737,-3.15112863,9.69872359,0.0969236150000001,2.5597569,-0.3593872768322
17-00690,7.86999597,5.80219476,3.48126746,6.21977211,4.50997341,5.36394225,2.55082198,7.6419037,10.51246111,8.37147529,2.33735207,7.38794822,3.69137645,4.52746405,4.86672538,0.230203975,6.00808523,0.4786246593312
17-00694,1.991381668,3.343532312,-3.302374735,-1.615492047,-2.312153127,-1.409848562,-3.710929934,4.11482733,7.785227784,3.655438473,8.263909629,5.038908934,6.438328659,-2.143318716,8.837798586,-0.525106894,3.700521538,-0.05557562624139
17-00741,-0.06817959,2.872098845,0.355844114,-2.140202075,0.911793833,5.147648422,3.423664281,2.906270288,8.20449692,6.483760155,4.56169034,5.886633102,8.930333835,-0.730060172,8.977158688,0.4534303255,2.71020906,-0.0175740338354402
17-00755,6.47208611,4.33137217,3.45996744,5.17992693,5.36974356,1.97942944,2.17915868,5.23374041,9.36731015,7.67061652,7.32536182,6.14630354,4.72434097,5.87037241,-0.36836528,0.64779138,4.43148508,0.3483214863932
17-00770,0.99913291,-0.21290742,1.21621905,-1.21747671,3.69823483,-0.9681047,3.97874988,-1.21747671,7.81970875,3.29109127,0.0733134,1.01852449,7.27241219,-0.62946641,-1.41142997,-2.901082675,2.3758518,-0.1838809597469
17-00776,6.363895791,5.123782181,5.726469494,5.477540882,5.196716997,6.631779718,2.199916163,7.380404147,9.948574835,7.885156735,6.111155158,5.195804889,6.377232784,5.321547427,6.212488803,0.705439324,7.044520948,0.78031541371824
17-00779,3.41629189,2.3497925,3.48648767,1.56965408,6.99632157,-0.36719922,0.58419795,2.31934353,9.58708421,6.78918252,2.71982546,1.85083443,4.24962032,1.27187389,8.89709556,-3.47330529,1.73564994,0.1491163416919
17-00843,3.39580102,2.43259295,1.3713814,2.3096469,2.29351494,2.80110301,4.82432052,4.33628831,8.78799179,7.28186596,2.88424218,7.60349436,4.80595753,5.30155784,7.3650255,0.08521818,4.74942311,0.3999148590568
17-00851,7.44293741,4.98612023,8.00777802,6.13811876,4.77093392,9.66137184,5.74252232,8.09577147,10.37229768,8.08832938,8.65880287,6.80203122,5.71340422,5.9320515,7.72545334,-0.11231738,6.73269382,1.1650891180654
17-00862,5.711606273,5.641960956,5.998053588,3.096847716,4.028039948,6.544067286,5.826826666,8.057223058,9.740536342,8.091023043,6.605764899,4.891788367,7.093142368,4.824577373,9.136513208,0.1239432175,6.796242485,0.97445434855496
17-00867,4.680332455,4.563101163,5.116656653,5.128052788,-0.411686504,4.333580776,3.278960887,8.58649569,10.2955141,5.499070568,2.863989778,6.364497161,4.306480451,-0.460507426,9.505697887,0.492299559,6.529056629,0.33220674761537
17-00878,6.77458923,5.19649211,5.63384044,4.15630229,8.38424653,9.21219589,4.3651065,6.60168563,9.72518552,7.7867036,7.65705637,3.94051398,4.98708434,5.04235409,9.28708888,-2.47399671,4.01192451,1.0975267869806
17-00881,3.50121791,1.37036475,2.04581186,1.14190143,3.14051652,2.40438805,3.18739738,3.30260363,7.17743011,6.64362339,1.82640762,5.52578688,9.11246615,4.62257925,5.78627075,0.02479466,3.78344373,0.4759949335544
17-00901,3.046290597,4.366810173,5.899172356,2.063673482,0.731835954,9.099203061,0.015062116,-1.68283724,10.15475554,5.155289411,0.598787796,2.012277777,5.697921196,2.509021813,-1.409296948,-3.440531149,2.620004354,-0.11162557764052
17-00908,3.24022344,3.2100801,-3.46683023,1.37371901,2.06816774,6.61122558,4.71974428,7.85477722,10.03699719,5.86483529,-0.99782776,4.26736737,5.61572486,3.36036755,9.97157186,0.739545055,5.05770854,0.4110073746593
17-00915,5.322706648,4.674944825,5.567749461,4.434339005,3.271122314,4.292618469,7.368891647,6.302754371,9.834749179,7.481385931,5.535515115,5.901768495,6.225917037,5.087534383,-0.35378269,-0.1485530665,4.581110994,0.43479189609893
